HomeTeam,AwayTeam,Elo_H_before,Elo_A_before,Home_adv_elo,H2H_score,H2H_GS_H_total,H2H_GS_A_total,H2H_GS_H_avg,H2H_GS_A_avg,GoalsScore_H,GoalsAgainst_H,GoalDifference_H,WinStreak_H,LoseStreak_H,Wins_H,Losses_H,WinRate_H,GoalsScore_H_avg,GoalsAgainst_H_avg,GoalsScore_A,GoalsAgainst_A,GoalDifference_A,WinStreak_A,LoseStreak_A,Wins_A,Losses_A,WinRate_A,GoalsScore_A_avg,GoalsAgainst_A_avg,Elo_diff,Elo_ratio,Goals_likelyhood_H,Goals_likelyhood_A,Home_adv_elo_sum,HomeTeam_code,AwayTeam_code
Nott'm Forest,Man United,1574.404585,1541.950054,37.5,1,8,8,1.6,1.6,7,7,0,1,0,2,1,0.4,1.4,1.4,5,12,-7,0,2,0,4,0,1,2.4,32.45453117,1.021047719,3.8,2.4,1611.904585,15,13
Bournemouth,Ipswich,1586.826287,1453.768898,37.5,0,3,3,1.5,1.5,4,6,-2,0,2,1,2,0.2,0.8,1.2,4,12,-8,0,1,0,3,0,0.8,2.4,133.0573883,1.091525818,3.2,2,1624.326287,2,9
Brighton,Aston Villa,1595.794221,1639.14767,-22.5,-2,5,13,1,2.6,10,9,1,1,0,2,1,0.4,2,1.8,9,3,6,3,0,4,1,0.8,1.8,0.6,-43.35344939,0.973551224,2.6,3.6,1573.294221,4,1
Man City,Leicester,1766.258676,1454.032862,157.5,5,14,4,2.8,0.8,10,3,7,0,0,4,0,0.8,2,0.6,6,6,0,1,0,2,2,0.4,1.2,1.2,312.2258131,1.214730919,3.2,1.8,1923.758676,12,10
Newcastle,Brentford,1657.056402,1592.687461,67.5,3,11,8,2.2,1.6,7,6,1,0,1,2,2,0.4,1.4,1.2,13,8,5,0,1,4,1,0.8,2.6,1.6,64.36894144,1.0404153,3,3.8,1724.556402,14,3
Southampton,Crystal Palace,1365.877665,1608.655525,-22.5,-4,3,8,0.6,1.6,2,7,-5,0,1,0,3,0,0.4,1.4,9,5,4,2,0,2,0,0.4,1.8,1,-242.7778606,0.849080268,1.4,3.2,1343.377665,16,6
Liverpool,Everton,1775.13597,1573.959804,7.5,2,7,4,1.4,0.8,11,9,2,0,1,2,2,0.4,2.2,1.8,7,6,1,2,0,2,2,0.4,1.4,1.2,201.1761657,1.127815313,3.4,3.2,1782.63597,11,7
Chelsea,Tottenham,1641.33892,1565.549759,127.5,3,11,6,2.2,1.2,8,6,2,0,1,3,1,0.6,1.6,1.2,5,14,-9,0,1,0,4,0,1,2.8,75.78916129,1.048410573,4.4,2.2,1768.83892,5,17
Everton,Arsenal,1573.959804,1746.962161,-22.5,-3,2,8,0.4,1.6,6,6,0,1,0,2,2,0.4,1.2,1.2,10,6,4,1,0,2,1,0.4,2,1.2,-173.0023569,0.900969603,2.4,3.2,1551.459804,7,0
Crystal Palace,Brighton,1608.655525,1595.794221,37.5,0,7,8,1.4,1.6,5,8,-3,1,0,1,1,0.2,1,1.6,11,9,2,2,0,3,1,0.6,2.2,1.8,12.86130442,1.008059501,2.8,3.8,1646.155525,6,4
Ipswich,Wolves,1453.768898,1523.196733,-82.5,0,3,3,1.5,1.5,2,12,-10,0,2,0,4,0,0.4,2.4,8,5,3,0,2,3,2,0.6,1.6,1,-69.42783439,0.954419654,1.4,4,1371.268898,9,19
West Ham,Bournemouth,1528.585579,1586.826287,-22.5,1,9,5,1.8,1,7,7,0,1,0,1,2,0.2,1.4,1.4,4,3,1,0,1,2,1,0.4,0.8,0.6,-58.240708,0.963297364,2,2.2,1506.085579,18,2
Aston Villa,Nott'm Forest,1639.14767,1574.404585,67.5,1,9,7,1.8,1.4,10,3,7,2,0,4,1,0.8,2,0.6,5,7,-2,0,0,1,2,0.2,1,1.4,64.74308483,1.041122266,3.4,1.6,1706.64767,1,15
Brentford,Chelsea,1592.687461,1641.33892,7.5,1,7,4,1.4,0.8,12,6,6,4,0,4,0,0.8,2.4,1.2,7,4,3,1,0,4,1,0.8,1.4,0.8,-48.65145886,0.970358676,3.2,2.6,1600.187461,3,5
Fulham,Liverpool,1561.143628,1775.13597,7.5,-2,9,12,1.8,2.4,7,9,-2,1,0,2,3,0.4,1.4,1.8,11,7,4,0,0,3,1,0.6,2.2,1.4,-213.9923412,0.879450169,2.8,4,1568.643628,8,11
Tottenham,Southampton,1565.549759,1365.877665,37.5,2,17,8,3.4,1.6,3,12,-9,0,2,0,4,0,0.6,2.4,2,8,-6,0,0,0,3,0,0.4,1.6,199.672094,1.146185928,2.2,2.8,1603.049759,17,16
Man United,Man City,1541.950054,1766.258676,-22.5,0,5,8,1,1.6,4,9,-5,0,3,0,4,0,0.8,1.8,8,2,6,1,0,4,0,0.8,1.6,0.4,-224.3086214,0.873003527,1.2,3.4,1519.450054,13,12
Leicester,Newcastle,1454.032862,1657.056402,7.5,-4,1,12,0.2,2.4,6,8,-2,0,0,1,2,0.2,1.2,1.6,12,5,7,1,0,3,1,0.6,2.4,1,-203.02354,0.877479403,2.2,4,1461.532862,10,14
Man City,Crystal Palace,1766.258676,1608.655525,127.5,3,14,8,2.8,1.6,10,3,7,0,0,4,0,0.8,2,0.6,9,5,4,2,0,2,0,0.4,1.8,1,157.6031504,1.09797197,3,2.4,1893.758676,12,6
Brighton,Leicester,1595.794221,1454.032862,67.5,1,12,9,2.4,1.8,10,9,1,1,0,2,1,0.4,2,1.8,6,6,0,1,0,2,2,0.4,1.2,1.2,141.7613583,1.097495292,3.2,3,1663.294221,4,10
Nott'm Forest,Everton,1574.404585,1573.959804,-52.5,-2,4,6,0.8,1.2,7,7,0,1,0,2,1,0.4,1.4,1.4,7,6,1,2,0,2,2,0.4,1.4,1.2,0.44478138,1.000282588,2.6,2.8,1521.904585,15,7
Southampton,Aston Villa,1365.877665,1639.14767,-82.5,-5,0,10,0,2,2,7,-5,0,1,0,3,0,0.4,1.4,9,3,6,3,0,4,1,0.8,1.8,0.6,-273.2700056,0.833285304,1,3.2,1283.377665,16,1
Arsenal,Brentford,1746.962161,1592.687461,7.5,3,8,4,1.6,0.8,10,7,3,0,0,1,1,0.2,2,1.4,13,8,5,0,1,4,1,0.8,2.6,1.6,154.2746999,1.09686439,3.6,4,1754.462161,0,3
