HomeTeam,AwayTeam,Full Time Home Goals,Full Time Away Goals,B365>2.5,B365<2.5,AHh
Newcastle,Nott'm Forest,4,3,1.67,2.2,-0.75
Man City,Liverpool,0,2,1.4,3,0.25
Brighton,Bournemouth,2,1,1.62,2.3,-0.25
Crystal Palace,Aston Villa,4,1,1.9,2,0
Wolves,Fulham,1,2,2.05,1.85,0
Chelsea,Southampton,4,0,1.29,3.75,-2.25
Brentford,Everton,1,1,1.87,2.03,-0.5
Man United,Ipswich,3,2,1.67,2.2,-1
Nott'm Forest,Arsenal,0,0,2.2,1.67,0.5
Tottenham,Man City,0,1,1.36,3.2,0.5
Liverpool,Newcastle,2,0,1.44,2.75,-1
West Ham,Leicester,2,0,1.73,2.1,-1
Nott'm Forest,Man City,1,0,1.57,2.38,0.5
Brighton,Fulham,2,1,1.73,2.1,-0.5
Crystal Palace,Ipswich,1,0,1.73,2.1,-1.25
Liverpool,Southampton,3,1,1.29,3.75,-2.5
Brentford,Aston Villa,0,1,1.53,2.5,-0.25
Wolves,Everton,1,1,2.3,1.62,0
Chelsea,Leicester,1,0,1.33,3.2,-2
Tottenham,Bournemouth,2,2,1.37,3,0
Man United,Arsenal,1,1,2.15,1.62,0.75
West Ham,Newcastle,0,1,1.73,2.1,0.25
Everton,West Ham,1,1,2.3,1.62,-0.25
Ipswich,Nott'm Forest,2,4,1.87,2.03,0.5
Man City,Brighton,2,2,1.44,2.75,-0.75
Southampton,Wolves,1,2,1.84,2.06,0.5
Bournemouth,Brentford,1,2,1.44,2.75,-0.75
Arsenal,Chelsea,1,0,1.86,1.92,-0.75
Fulham,Tottenham,2,0,1.57,2.38,-0.5
Leicester,Man United,0,3,1.8,2,0.5
Arsenal,Fulham,2,1,2.1,1.73,-1
Wolves,West Ham,1,0,2.2,1.67,0
Nott'm Forest,Man United,1,0,1.95,1.95,-0.25
Bournemouth,Ipswich,1,2,1.53,2.5,-1.5
Brighton,Aston Villa,0,3,1.62,2.3,-0.25
Man City,Leicester,2,0,1.4,3,-2
Newcastle,Brentford,2,1,1.44,2.75,-0.75
Southampton,Crystal Palace,1,1,1.8,2,1
Liverpool,Everton,1,0,1.73,2.1,-1.25
Chelsea,Tottenham,1,0,1.4,3,-1
Everton,Arsenal,1,1,2.38,1.57,0.75
